,179BR2A00001,179BR2A00003,179BR2A00007,179BR2A00011,179BR2B00001,179BR2B00003,179BR2B00007,179BR2B00011,179BR2C00001,179BR2C00003,179BR2C00007,179BR2C00011,179BR2D00001,179BR2D00003,179BR2D00007,179BR2D00011,179BR2E00001,179BR2E00003,179BR2E00007,179BR2E00011,179BR2F00001,179BR2F00003,179BR2F00007,179BR2F00011,179BR3A00001,179BR3A00003,179BR3A00007,179BR3A00011,179BR3B00001,179BR3B00003,179BR3B00007,179BR3B00011,179BR3C00001,179BR3C00003,179BR3C00007,179BR3C00011,179BR3D00001,179BR3D00003,179BR3D00007,179BR3D00011,179BR3E00001,179BR3E00003,179BR3E00007,179BR3E00011,179BR3F00001,179BR3F00003,179BR3F00007,179BR3F00011
179BR2A00001,0.0,88.97815977973276,93.81024808249035,99.51217874072252,116.91583341987135,97.47374766611317,101.90593323634631,101.0939362872873,100.04369139359589,96.64661553420379,101.3186370633785,95.50611552600138,100.46738076241063,97.28485913401722,102.07078732519693,104.68348790687254,119.12705084974063,103.32010969099494,106.40599176121047,112.30641202472934,123.81521681831842,94.61106653058185,95.01744476612241,102.50034447310333,102.671456556021,92.66905795687957,96.72169614050884,101.48316084560746,98.4604725934176,95.6230661279002,103.17716110764285,107.0644188808095,98.18112828818457,100.57386683893046,98.62725358679283,98.56919710664994,104.56428640760225,95.70760129973625,99.64993463608172,99.84723801158793,89.88665256514916,97.62411977052773,104.56249713556198,98.07254254992527,98.66588505729969,97.64076317247371,97.98103257892215,102.3044346801055
179BR2A00003,88.97815977973276,0.0,30.2451588560452,44.489767802249744,98.45579769225998,61.08247293672266,62.102623261443924,61.11445668473454,77.87705798164266,57.31226589411207,61.20562030684977,59.28600276024029,93.05544234881775,55.54935203569081,57.969072137642904,60.98822992392414,114.29462707622395,64.84538136829222,66.55745257547537,71.53974008975543,128.33258561541314,57.15323939082534,56.717207660326416,64.7364577899185,93.51517771397825,51.68167412005722,55.752997379308155,61.26718841811807,95.02810548603193,61.649757718747225,68.9144885146509,70.72282612130086,82.27277251547588,64.66432583849277,59.91989633721819,61.992069756461504,91.10949330512868,61.43272292737034,61.11615879177771,61.32441805753672,84.92265793878484,67.34511249314826,72.13604694159955,65.20993782255356,97.82286479719215,64.58859736637734,62.73122693595545,65.57377576934748
179BR2A00007,93.81024808249035,30.2451588560452,0.0,24.71852936454703,97.60478285434117,58.31743306332604,58.72264438657955,55.89132677858065,79.81912018631795,56.47784107480708,58.48766165275195,54.57699970124974,95.17704386134595,56.90314304427635,55.93570330198218,56.887677911675226,117.40726789844977,65.12606988406722,62.99640431970125,66.24304733474857,130.95066868807424,57.14492291503222,53.832573393039,61.439107561629235,96.33013081638448,52.76618375244702,53.45766683417617,57.48471945416584,95.65831959431328,59.57785328655268,63.57603610677978,63.8123253227015,84.47768054584058,67.10174110089619,59.061977753163916,59.8552708375675,93.81867399096868,62.305558590858645,59.15387252896594,58.26452554419944,87.25271485466946,68.40591465883912,71.74020596578882,62.552989951382315,101.3955643026618,67.22126398562547,62.77968679568608,65.63642899511994
179BR2A00011,99.51217874072252,44.489767802249744,24.71852936454703,0.0,100.11258462287441,63.09631050553491,63.464920285139335,60.1318638306138,82.757275580772,60.742159905539445,62.207307690364935,57.1720375100022,98.94579362521155,62.33167788294299,60.123671544693664,59.57554026935511,121.38185077451672,68.78979121338753,66.21285657342985,68.66189953101994,135.380040045082,61.83427706690956,56.49126848129495,61.10357120395125,100.42276998521899,58.33693236854738,57.632445154779,59.179575059963284,98.79329078814948,63.998197236346044,66.52160138111873,65.67405936531496,87.70229863877522,72.39989334081872,63.68032330414929,63.562377201320515,97.28000163940752,66.59308589039928,62.171202253824596,61.14814176380608,89.40108132142018,69.32694102223884,72.07232981162707,63.042598593081394,104.54322696737582,71.74702446967609,66.83550609505706,69.47188400398579
179BR2B00001,116.91583341987135,98.45579769225998,97.60478285434117,100.11258462287441,0.0,86.23441445132205,85.45895054333582,86.4304273245662,91.97106609995312,91.36061429068083,94.19737755359348,92.80328614638422,106.23926133193372,93.12371670700172,96.85265169938367,98.24955739149392,123.71645781611234,97.83689238015565,99.7422148427491,102.89509810416114,149.74024353882976,99.42678123865268,97.82634492319106,104.6087996132688,97.90398762156184,90.1549836891855,92.42183835192796,96.16351626126706,93.05670345492467,92.43178666057926,96.98465895931916,100.88982737770536,98.05191516567213,101.08531033203184,99.47321897592852,100.24947229529266,107.5059737450537,95.06764264102637,97.07058833178375,96.78522266663357,96.76919387736622,96.67117925816818,100.70850250968864,96.09124831920867,122.14439059209737,101.01409034911448,100.14788260183978,103.03831985929266
179BR2B00003,97.47374766611317,61.08247293672266,58.31743306332604,63.09631050553491,86.23441445132205,0.0,29.548683902020656,34.219299713158236,71.46445185259678,45.49763179372981,53.78990785774634,47.948104343290446,88.24114592812433,44.076842482135,52.713380983665544,58.20022934797811,111.41560667348686,51.11931835292902,53.11697755402198,60.02055315944259,128.86778211362622,60.930472261211364,57.324047941801915,70.22892480044466,91.3929344072016,44.69069723473772,52.06179896286021,60.92238560380581,91.28146643353624,56.78001896514154,66.07390590623659,71.76082204536539,75.35713248706188,56.73736332180088,51.75169530849109,52.88079103602441,86.58506573254544,53.94883346386816,59.88643043946346,60.42974151487631,76.6302532678495,54.07501438090291,61.345617064018114,50.53115060726599,97.06448274426855,62.370427398206,59.68375995269654,63.314768996379435
179BR2B00007,101.90593323634631,62.102623261443924,58.72264438657955,63.464920285139335,85.45895054333582,29.548683902020656,0.0,15.052842003641347,76.28993174604778,51.762125719321766,56.6110083335973,54.69435548403609,92.95687840521653,49.19701034844366,52.40429434897324,56.61457151057853,114.23170816608865,53.90674953352824,55.58108805042872,59.54105779491453,133.18090898639264,66.68391053718966,62.63135720620024,73.48469818810065,92.4352376021064,50.56621704367147,53.61586546189885,59.71673749153872,93.38295285633308,59.05627780820858,64.03597216057678,68.88193828916903,80.72371817498612,63.37046982933152,58.99902954393895,60.75304104700754,91.32534262193488,59.20965146372528,60.742704474443734,60.32224616652647,81.48488988499477,59.915040218195884,64.20010479868799,57.15543757346319,102.27101714606816,66.73798004232809,63.400576081370616,66.53557563009439
179BR2B00011,101.0939362872873,61.11445668473454,55.89132677858065,60.1318638306138,86.4304273245662,34.219299713158236,15.052842003641347,0.0,75.7255814544224,50.158187258267375,54.469599311890995,51.189109690523345,92.40591829965216,49.37372709798166,51.295584633816695,55.32382375497959,114.22900662191032,55.81203300476162,56.75336682861985,60.262083489207384,132.2194967356468,65.49165187881363,61.02546215454273,71.75274638053558,93.16122814151558,49.95750657730895,52.23280331006753,58.04999898737998,94.22615148554914,60.72631292648724,64.98254705002967,68.72790981585183,81.62434201701873,64.89048961690551,58.353944747858094,59.41697749456299,92.0070669720819,58.64130464824339,59.467814986891646,58.768403444427726,82.05985720559637,60.46053689613636,64.63843755466007,55.83746941025625,101.72583696717687,66.47371241397225,62.53426076300751,65.83987347664198
179BR2C00001,100.04369139359589,77.87705798164266,79.81912018631795,82.757275580772,91.97106609995312,71.46445185259678,76.28993174604778,75.7255814544224,0.0,62.29185002665938,69.37322051939226,66.83197456169682,83.10201875719859,70.45364034865692,77.86236305728747,81.56152220208507,110.16244526046889,74.71029309954743,80.53648137490703,86.19416007608007,132.22486438618031,74.29815852445832,74.03103909291835,83.00469033326999,88.12995465896906,66.7129802974634,72.10879729076365,76.9877336129287,90.06954391028685,73.78262615944827,81.6195159000395,86.83711397507669,84.0441093863154,81.17117192505451,78.08602822085805,79.06006290948979,86.30640055572603,68.56529653767225,74.13354749605162,73.98812464529914,76.98386021993139,74.06908464427546,80.51176902431602,75.37140763988313,98.74225604471467,78.33379159629038,78.65930247515035,82.32889726303615
179BR2C00003,96.64661553420379,57.31226589411207,56.47784107480708,60.742159905539445,91.36061429068083,45.49763179372981,51.762125719321766,50.158187258267375,62.29185002665938,0.0,23.059250923222095,25.80183440736832,85.40546238175443,40.320655903499,49.84802041202898,56.26020578386086,111.41558457184196,50.203283077047104,56.82095951702557,62.51768964433925,127.84679414886537,54.59103366471074,52.91988354617819,65.29353926388653,92.08008721727933,39.07918985765917,48.69884219348363,57.50378675734245,91.7656130866166,58.87455019158517,67.30455901155216,72.57703533923186,78.08719745005205,59.20452312781521,51.73883981387409,54.435067904675535,86.99944934236595,49.54409088844519,55.06847662276086,55.06897337697416,78.29393081705517,58.69770903031546,66.05772514360929,56.02807033103981,95.49777678954342,61.12264307778158,58.7443149125114,62.29745247431658
179BR2C00007,101.3186370633785,61.20562030684977,58.48766165275195,62.207307690364935,94.19737755359348,53.78990785774634,56.6110083335973,54.469599311890995,69.37322051939226,23.059250923222095,0.0,23.11076616317402,90.52225144802098,47.64957650253274,52.69807879573561,57.55733477461591,116.47180952915046,52.93378798576457,56.692320833722704,61.28854149032149,132.43944243584332,60.48263729763957,58.272027583238845,67.39074361797948,96.26806987400954,48.086269065422684,54.0580338790058,60.97245597957416,95.62376199200946,62.5594222259256,68.48921625267798,72.87664313725713,85.03387624071118,66.1426037746273,57.38352897249631,60.03610756682551,91.7282068894209,56.35502961860504,58.47499713055503,58.2844359653526,84.62887865608471,64.50829981106288,69.33324411676124,60.82848922732693,100.83485591525393,65.40644041185864,62.040611962649905,64.4615240797366
179BR2C00011,95.50611552600138,59.28600276024029,54.57699970124974,57.1720375100022,92.80328614638422,47.948104343290446,54.69435548403609,51.189109690523345,66.83197456169682,25.80183440736832,23.11076616317402,0.0,85.76812026837182,43.84732855111728,50.27731645979788,55.03926373048205,112.86506239679784,52.54046147083126,55.18934319201658,60.54507825009156,126.91409516754966,55.088980412246755,52.242435126219256,63.67009960466103,94.20051597815676,45.54139714046283,52.86419275769706,60.35322225674166,92.51848709306168,61.18895591449298,67.95449019559545,71.54057416073515,78.8412627006272,61.84347330885445,51.338563620444404,50.34360465438894,88.82331849841391,53.07766466343332,57.33178340529053,57.16531782356016,79.48952479638231,59.78947623142187,66.69234605520428,52.23360781078927,95.09212320819638,61.891316641942055,57.17079008490559,60.9381955849122
179BR2D00001,100.46738076241063,93.05544234881775,95.17704386134595,98.94579362521155,106.23926133193372,88.24114592812433,92.95687840521653,92.40591829965216,83.10201875719859,85.40546238175443,90.52225144802098,85.76812026837182,0.0,82.72970921395294,89.31819969602024,93.17269478124238,110.41253628794189,91.65126148398625,96.38163229199039,101.46509571771767,128.62000542122362,88.90525301954389,88.51125828983709,97.17084229077587,96.86344874236478,84.80511548810185,88.29346929536281,92.89851429437373,92.91840381191989,90.20456146831911,98.1702106260735,102.0332421781423,91.61169970670896,92.44723184783327,91.13476964555755,90.85598160190374,96.5089041390623,86.03813412680562,90.20072985619454,90.79411156436599,86.79247516236013,90.04681027684552,97.40903233131255,90.6674622383073,104.9572283150043,93.76864000505822,93.7679241753926,97.64820861166974
179BR2D00003,97.28485913401722,55.54935203569081,56.90314304427635,62.33167788294299,93.12371670700172,44.076842482135,49.19701034844366,49.37372709798166,70.45364034865692,40.320655903499,47.64957650253274,43.84732855111728,82.72970921395294,0.0,27.952446846094876,37.86194609516636,108.55681307172443,45.2015925707254,50.83113912845414,58.047956307552084,126.81598196023397,50.86093178091189,50.1548985994371,63.363623635421526,92.32194308180432,44.48903349263148,51.01085553972752,59.591762296524514,92.36920817804562,61.27241172052028,69.27620049937643,73.37444366388355,77.32436967189713,54.95380005952428,49.05341383827313,50.66125728466052,88.6314363333302,50.48805957721096,54.75935849201367,54.99604033989455,81.18414721535862,60.16365633166613,66.73366750484031,56.11497919081137,96.06392264920152,61.70658279780069,58.20691252219059,62.01735868737697
179BR2D00007,102.07078732519693,57.969072137642904,55.93570330198218,60.123671544693664,96.85265169938367,52.713380983665544,52.40429434897324,51.295584633816695,77.86236305728747,49.84802041202898,52.69807879573561,50.27731645979788,89.31819969602024,27.952446846094876,0.0,19.679114532224403,112.7831892846625,49.95417926036759,50.9593015492281,55.44402438966126,131.32071952995778,58.24326237387573,55.641089961521494,64.95166752245672,95.6968180364935,51.80766344469847,53.323748491411735,58.95231832084613,95.82063473002617,64.89660510234793,69.41293750797514,72.04626792303218,83.5604480991284,64.43169153860649,56.72012375896955,58.21723378801417,94.39280974757563,60.433196734598106,58.082173163429786,56.81740783862377,87.05940403488292,65.72363241828664,69.10915270086977,60.395224455620564,102.27256705225145,68.92261202037626,63.83696079222731,66.04062289661233
