,179BR2A00001,179BR2A00003,179BR2A00007,179BR2A00011,179BR2B00001,179BR2B00003,179BR2B00007,179BR2B00011,179BR2C00001,179BR2C00003,179BR2C00007,179BR2C00011,179BR2D00001,179BR2D00003,179BR2D00007,179BR2D00011,179BR2E00001,179BR2E00003,179BR2E00007,179BR2E00011,179BR2F00001,179BR2F00003,179BR2F00007,179BR2F00011,179BR3A00001,179BR3A00003,179BR3A00007,179BR3A00011,179BR3B00001,179BR3B00003,179BR3B00007,179BR3B00011,179BR3C00001,179BR3C00003,179BR3C00007,179BR3C00011,179BR3D00001,179BR3D00003,179BR3D00007,179BR3D00011,179BR3E00001,179BR3E00003,179BR3E00007,179BR3E00011,179BR3F00001,179BR3F00003,179BR3F00007,179BR3F00011
179BR2A00001,0.0,0.7048611111111112,0.7191780821917808,0.7474747474747475,0.7076023391812866,0.8316498316498316,0.8282828282828283,0.8175675675675675,0.7347560975609756,0.8245033112582781,0.8372093023255814,0.8311258278145696,0.6428571428571429,0.8106312292358804,0.7947019867549668,0.7901639344262295,0.605080831408776,0.8,0.8099688473520249,0.8130841121495327,0.593186372745491,0.7817589576547231,0.7679738562091504,0.7806451612903226,0.6246246246246246,0.777027027027027,0.7662337662337663,0.7612903225806451,0.5561797752808989,0.7189542483660131,0.7346278317152104,0.7377049180327869,0.6869806094182825,0.83,0.8160535117056856,0.8366666666666667,0.6906906906906907,0.8178807947019867,0.7868852459016393,0.7960526315789473,0.6601307189542484,0.7817589576547231,0.8071895424836601,0.8169934640522876,0.592797783933518,0.7645161290322581,0.7741935483870968,0.792332268370607
179BR2A00003,0.7048611111111112,0.0,0.19387755102040816,0.3490566037735849,0.7172774869109948,0.5849056603773585,0.5480769230769231,0.5145631067961165,0.6867469879518072,0.5504587155963303,0.5833333333333334,0.5945945945945946,0.7751937984496124,0.5229357798165137,0.4818181818181818,0.49122807017543857,0.7958579881656804,0.6044776119402985,0.5877862595419847,0.5736434108527132,0.8283062645011601,0.5491803278688525,0.512396694214876,0.5403225806451613,0.695,0.5,0.536,0.5275590551181102,0.732,0.5661764705882353,0.5735294117647058,0.5648854961832062,0.7235023041474654,0.6371681415929203,0.5982142857142857,0.6306306306306306,0.6868131868131868,0.5964912280701754,0.5338983050847458,0.5431034482758621,0.66875,0.5952380952380952,0.6115702479338843,0.625,0.7408906882591093,0.6015037593984962,0.5813953488372093,0.5968992248062015
179BR2A00007,0.7191780821917808,0.19387755102040816,0.0,0.18556701030927836,0.71875,0.5887850467289719,0.5660377358490566,0.5192307692307693,0.6964285714285714,0.5675675675675675,0.5607476635514018,0.5596330275229358,0.7900763358778626,0.5535714285714286,0.4864864864864865,0.4824561403508772,0.8070175438596491,0.6176470588235294,0.6015037593984962,0.5658914728682171,0.8367816091954023,0.5528455284552846,0.5403225806451613,0.544,0.7093596059113301,0.4909090909090909,0.5040650406504065,0.4838709677419355,0.7430830039525692,0.5588235294117647,0.5338345864661654,0.5118110236220472,0.7363636363636363,0.6403508771929824,0.5636363636363636,0.5963302752293578,0.7027027027027027,0.6120689655172413,0.5128205128205128,0.5217391304347826,0.718562874251497,0.6412213740458015,0.6370967741935484,0.639344262295082,0.7619047619047619,0.625,0.5954198473282443,0.6106870229007634
179BR2A00011,0.7474747474747475,0.3490566037735849,0.18556701030927836,0.0,0.7225130890052356,0.6074766355140186,0.5714285714285714,0.5242718446601942,0.7005988023952096,0.5855855855855856,0.5794392523364486,0.5648148148148148,0.8022813688212928,0.584070796460177,0.4909090909090909,0.48672566371681414,0.8231884057971014,0.6119402985074627,0.5954198473282443,0.5590551181102362,0.8519362186788155,0.5806451612903226,0.5206611570247934,0.5,0.7192118226600985,0.5225225225225225,0.5081967213114754,0.4628099173553719,0.7509881422924901,0.562962962962963,0.5378787878787878,0.5158730158730159,0.7454545454545455,0.6578947368421053,0.5818181818181818,0.6018518518518519,0.7065217391304348,0.6052631578947368,0.5172413793103449,0.5263157894736842,0.7228915662650602,0.6141732283464567,0.5966386554621849,0.5982905982905983,0.7747035573122529,0.6296296296296297,0.6,0.6153846153846154
179BR2B00001,0.7076023391812866,0.7172774869109948,0.71875,0.7225130890052356,0.0,0.6727272727272727,0.6419753086419753,0.6545454545454545,0.6201923076923077,0.7175141242937854,0.7314285714285714,0.7359550561797753,0.6631944444444444,0.7292817679558011,0.717391304347826,0.7112299465240641,0.6850828729281768,0.7389162561576355,0.7425742574257426,0.7222222222222222,0.7864693446088795,0.7638190954773869,0.7487437185929648,0.75,0.5714285714285714,0.7,0.6875,0.6735751295336787,0.5488721804511278,0.6391752577319587,0.6443298969072165,0.6402116402116402,0.6377952755905512,0.7814207650273224,0.7650273224043715,0.7923497267759563,0.6666666666666666,0.7486338797814208,0.7127659574468085,0.7135135135135136,0.6507177033492823,0.7384615384615385,0.7393617021276596,0.7553191489361702,0.7540983606557377,0.75,0.7524752475247525,0.7684729064039408
179BR2B00003,0.8316498316498316,0.5849056603773585,0.5887850467289719,0.6074766355140186,0.6727272727272727,0.0,0.2876712328767123,0.3717948717948718,0.684931506849315,0.5168539325842697,0.5568181818181818,0.5714285714285714,0.7966804979253111,0.5164835164835165,0.53125,0.5544554455445545,0.8419452887537994,0.5752212389380531,0.5803571428571429,0.5636363636363636,0.888631090487239,0.6272727272727273,0.625,0.6521739130434783,0.7158469945355191,0.4725274725274725,0.5327102803738317,0.5363636363636364,0.7669491525423728,0.5175438596491229,0.5641025641025641,0.5405405405405406,0.7386934673366834,0.5777777777777777,0.5760869565217391,0.6153846153846154,0.7012195121951219,0.5434782608695652,0.5445544554455446,0.5257731958762887,0.6830985915492958,0.5887850467289719,0.5656565656565656,0.5816326530612245,0.8174273858921162,0.6206896551724138,0.6106194690265486,0.6036036036036037
179BR2B00007,0.8282828282828283,0.5480769230769231,0.5660377358490566,0.5714285714285714,0.6419753086419753,0.2876712328767123,0.0,0.11764705882352941,0.6870748299319728,0.48863636363636365,0.5116279069767442,0.5280898876404494,0.8024691358024691,0.5217391304347826,0.4731182795698925,0.4845360824742268,0.8389057750759878,0.5789473684210527,0.5714285714285714,0.5,0.8888888888888888,0.6548672566371682,0.6160714285714286,0.6434782608695652,0.717391304347826,0.4946236559139785,0.5094339622641509,0.5,0.7574468085106383,0.5217391304347826,0.5175438596491229,0.5045871559633027,0.74,0.5666666666666667,0.5652173913043478,0.6043956043956044,0.718562874251497,0.5638297872340425,0.5050505050505051,0.4842105263157895,0.7034482758620689,0.6055045871559633,0.57,0.5714285714285714,0.8132780082987552,0.635593220338983,0.6260869565217392,0.631578947368421
179BR2B00011,0.8175675675675675,0.5145631067961165,0.5192307692307693,0.5242718446601942,0.6545454545454545,0.3717948717948718,0.11764705882352941,0.0,0.6912751677852349,0.5,0.4883720930232558,0.5056179775280899,0.7991803278688525,0.5,0.43478260869565216,0.4479166666666667,0.8433734939759037,0.5862068965517241,0.591304347826087,0.5092592592592593,0.8842592592592593,0.6491228070175439,0.6106194690265486,0.6260869565217392,0.7204301075268817,0.5052631578947369,0.5046728971962616,0.48148148148148145,0.759493670886076,0.5299145299145299,0.5258620689655172,0.5135135135135135,0.7487684729064039,0.5913978494623656,0.5274725274725275,0.5978260869565217,0.7218934911242604,0.5729166666666666,0.5,0.4948453608247423,0.7248322147651006,0.6126126126126126,0.5784313725490197,0.5656565656565656,0.8099173553719008,0.6302521008403361,0.6206896551724138,0.6260869565217392
179BR2C00001,0.7347560975609756,0.6867469879518072,0.6964285714285714,0.7005988023952096,0.6201923076923077,0.684931506849315,0.6870748299319728,0.6912751677852349,0.0,0.5401459854014599,0.6071428571428571,0.5957446808510638,0.6335877862595419,0.6903225806451613,0.7018633540372671,0.6951219512195121,0.7171428571428572,0.6914285714285714,0.7247191011235955,0.7159090909090909,0.8056768558951966,0.7267441860465116,0.7017543859649122,0.7183908045977011,0.5972222222222222,0.62,0.6526946107784432,0.6686046511627907,0.6604477611940298,0.630057803468208,0.6436781609195402,0.6390532544378699,0.6872427983539094,0.7672955974842768,0.7161290322580646,0.7643312101910829,0.6019900497512438,0.6710526315789473,0.6728395061728395,0.6729559748427673,0.6216216216216216,0.6646341463414634,0.6708860759493671,0.70625,0.7347670250896058,0.711864406779661,0.7142857142857143,0.7329545454545454
179BR2C00003,0.8245033112582781,0.5504587155963303,0.5675675675675675,0.5855855855855856,0.7175141242937854,0.5168539325842697,0.48863636363636365,0.5,0.5401459854014599,0.0,0.17567567567567569,0.23076923076923078,0.7786885245901639,0.5104166666666666,0.5392156862745098,0.5333333333333333,0.8388059701492537,0.5555555555555556,0.6083333333333333,0.5689655172413793,0.8778801843317973,0.6410256410256411,0.6153846153846154,0.6302521008403361,0.7210526315789474,0.41935483870967744,0.5,0.5175438596491229,0.7695473251028807,0.5609756097560976,0.5691056910569106,0.5714285714285714,0.7548076923076923,0.6122448979591837,0.5212765957446809,0.6041666666666666,0.7151162790697675,0.5510204081632653,0.5377358490566038,0.5196078431372549,0.7086092715231788,0.5929203539823009,0.5849056603773585,0.6261682242990654,0.8089430894308943,0.6451612903225806,0.6475409836065574,0.6416666666666667
