,179fece00002a,179fece00003a,179fece00004a,179fece00005a,179fece00006a,179fece00012a,179fece000132a,179fece00013a,179fece00014a,179fece00015a,179fece00016a,179fece00022a,179fece000232a,179fece00023a,179fece00024a,179fece00025a,179fece00026a,179fece00032a_1,179fece00032a_2,179fece000332a,179fece00033a,179fece00034a,179fece00035a,179fece00036a,179fece00042a,179fece000432a,179fece00043a,179fece00044a,179fece00045a,179fece00046a,179fece00052a,179fece000532a,179fece00053a,179fece00054a,179fece00055a,179fece00056a,179fece00062a,179fece000632a,179fece00063a,179fece00064a,179fece00065a,179fece00066a,179supA00011a,179supA00012a,179supA00013a,179supA00014a,179supA00015a,179supA00016a,179supA00021a,179supA00022a,179supA00023a,179supA00024a,179supA00025a,179supA00026a,179supA00031a,179supA00032a,179supA00033a,179supA00034a,179supA00035a,179supA00036a,179supA00041a,179supA00042a,179supA00043a,179supA00044a,179supA00045a,179supA00046a,179supA00051a,179supA00052a,179supA00053a,179supA00054a,179supA00055a,179supA00056a,179supA00061a,179supA00062a,179supA00063a,179supA00064a,179supA00065a,179supA00066a,179supB00007a,179supB00008a,179supB00009a,179supB00010a,179supB00011a,179supB00012a,179supB00017a,179supB00018a,179supB00019a,179supB00027a,179supB00028a,179supB00029a,179supB00037a,179supB00038a,179supB00039a,179supB00047a,179supB00048a,179supB00049a,179supB00057a,179supB00058a,179supB00059a,179supB00067a,179supB00068a,179supB00069a,179supB00110a,179supB00111a,179supB00112a,179supB00210a,179supB00211a,179supB00212a,179supB00310a,179supB00311a,179supB00312a,179supB00410a,179supB00411a,179supB00510a,179supB00511a,179supB00512a,179supB00610a,179supB00611a,179supB00612a,179supD00019a,179supD00020a,179supD00021a,179supD00022a,179supD00119a,179supD00120a,179supD00121a,179supD00122a,179supD00219a,179supD00220a,179supD00221a,179supD00222a,179supD00319a,179supD00320a,179supD00321a,179supD00322a,179supD00419a,179supD00420a,179supD00421a,179supD00422a,179supD00519a,179supD00520a,179supD00521a,179supD00522a,179supD00619a,179supD00620a,179supD00621a,179supD00622a,FF02556036,FF02556045,FF02556056,FF02556063,FF02556074,FF02556082
179fece00002a,0.0,83.43071395354944,88.03666728171471,79.46311089257796,83.73911212813977,59.83470640321835,67.46384826928237,67.64708541254723,84.52440148102133,70.82345087368203,78.51752196696263,78.17045158424814,76.52913398038532,77.51909529403004,80.03994731874107,75.7052865425932,81.30706542593119,86.57221800723984,79.22546202498852,78.88614210850116,80.24210729320559,81.79265182040841,74.8436672951138,83.99485961407666,80.86958427966523,76.05364850268586,80.17401913206707,81.6053444888573,77.67740151381604,79.52369272047451,80.99424820426907,76.02516646881355,81.6977304153344,80.72097534237922,77.60459803900908,81.70377908853581,79.91082953954542,76.45225213598829,83.08476511935042,82.82835293368143,82.46401988630124,80.26105798265525,73.34060303392391,74.62982831979659,77.51432498297292,78.4699448806167,74.54839557358945,79.20317047181999,75.91503249771336,76.51651457237953,77.5443677150116,79.82998890458177,76.39258483045532,78.38145022158912,76.85582297535198,77.07952629265897,77.8712532137566,78.63626426726908,76.5032376421352,79.72595306721765,77.41424731365898,76.50084996173246,77.37373091689743,79.09100175162776,78.4194606281789,78.4643985991543,76.64494253281877,76.30226371301127,76.60077659833213,79.13700994285107,76.83944023673104,77.83064243275034,76.82015241920733,76.26012431913472,76.78591468795892,79.18734276883275,77.07086166765816,77.6246504818972,81.03096299702563,72.64618809091941,70.26532109972584,94.1752943148996,89.40865071417403,100.65274616635864,78.70736947042352,72.71090764326873,73.56683559311502,79.91240870062464,76.43483043612481,74.73143149928076,77.29224021030367,77.1118312664961,78.47173654606318,76.94095322063086,78.2187296773375,78.26187881938196,79.44754003582085,77.62591515703484,79.25621819219701,77.45248766817903,77.56759095828606,78.40638848555022,73.08922493474842,79.66448215489322,75.50644023434793,76.82446366308787,78.9102894962627,78.33059230276034,80.81714170606388,79.80590820384812,80.81144751448527,81.25779948117082,82.44400711071971,77.16728481723081,78.40830676456834,78.62818991723779,79.67660240217542,78.07987493522967,80.8154393475805,63.50016124462132,68.71411399013263,73.38919153124226,82.28403299220963,71.19455921846304,73.1784544917559,73.6823808937298,77.40444325700601,75.3435461961119,76.59801303601908,75.78636976692196,80.61432831641048,75.6405005189706,78.6494865816653,75.53500076918476,80.1266765267561,76.6417956949166,81.8772657877851,75.6922634245252,80.60184820960916,77.15298041882298,81.14365845129657,77.40422466984678,80.4551059550037,76.7557987975093,78.56232445223618,76.97282158476379,78.98681772299123,75.49190229313972,73.82979259320622,78.02149180674972,78.24224765366588,72.95639647591148,77.41904327606541
179fece00003a,83.43071395354944,0.0,99.77850351006607,93.64515835017218,97.18340339046614,84.80055128015768,66.54201367738382,70.37559790757942,93.09498168156071,84.18771168823311,91.31974307512495,92.51054941179044,90.71522244320592,90.20765193434669,92.33173836729037,88.0416717350107,94.01183324815666,27.112328858595554,93.23142412381995,92.12626689524019,92.6268913507369,93.81106270064113,89.06854871337941,96.52505674791135,93.32761563624423,90.85238124116363,92.34371677973529,93.22378390344241,90.20231330516005,93.31391589516373,93.46787408783638,91.08534439896917,93.14614073069718,93.08317841799345,90.57970030365135,95.74273715992479,92.69912477640116,91.39800198479546,94.49867639336664,94.59432045827971,94.17082524256897,94.57079606758003,86.79015172739645,89.87215069707061,90.60250046474683,93.26153243187731,89.83383808955854,92.69325820757493,90.02831353688535,91.66636984692683,91.96990225553382,93.88470131823381,91.02016646877296,92.28944015336391,90.73331153846593,91.55418579311359,91.77319360685017,92.58568188452506,90.95765225658411,92.63755838365047,91.53816453634758,90.9038930111059,91.10769526571015,92.94605948729054,92.59888753711402,91.87281851676624,90.88816024796311,90.75058324219438,90.79434347895389,93.33749546159298,91.3851926845302,91.45620621043217,91.12862685506116,90.97770821223233,90.92891972133799,93.18340012509847,91.46795140586455,91.15609763194465,84.23720541556025,92.72118879016229,86.07182039890124,102.63169190996628,98.2731125277854,105.77246721484128,82.77467226865338,88.04042417560144,88.0795106266544,91.43032933012046,90.12067830696198,90.43872939609126,90.41033360097427,90.68648874827271,92.71714911789148,90.21596200381441,91.62493028146126,92.57073761247655,91.7776923793692,91.73957047576907,93.22430620886547,90.56191860711091,91.5718231012492,92.57135088362955,86.95321304750163,91.74757958542504,89.489030103234,90.06012175091827,92.18920761498592,91.98843558017671,93.34539810905586,92.51877141930945,94.31828175816753,94.00183603792858,94.79826172144296,90.8980981262444,92.2356636777501,92.79821895650878,93.49337384002322,91.96704877459945,94.21601331225023,82.0896043942437,85.0572335944429,89.02672729553113,95.49780313441828,89.83889450267976,87.3422898903282,89.12916609154173,92.3458173159706,91.5994835089772,91.19684523105529,91.52849967321647,94.6440598110879,91.81416659963674,93.12769922487614,91.30564312781443,94.4489494413878,92.02677475608456,95.89427882462887,91.11767886461433,94.86780541958203,92.06470768799343,95.07825246601372,92.49287736150895,94.78567806231722,92.15225547988844,92.90937339802487,92.31616005539743,93.69685038737752,87.3934018605905,89.39079156892316,91.09412351554468,92.76543332031608,86.37967137996492,89.04151849025084
179fece00004a,88.03666728171471,99.77850351006607,0.0,94.42071624177818,86.72632981131628,83.11584058621307,79.97201725912831,80.15937972290536,56.401147505427524,79.46210110709468,84.3874154079058,86.1739587861594,82.03618116524709,79.12242563315786,77.65688810908986,80.39695467800065,86.23643189135724,104.02717580340261,83.16025235405839,79.1570171906485,80.6026827564691,81.96390139547103,76.73673525374016,87.09775153070157,81.60174131980483,77.78853793611938,80.03939624031432,81.25616893382166,80.18820030941927,80.99544320213485,81.76134330373053,77.03195239499496,81.69813613780977,80.14011544059292,79.03317472140493,84.65971950761303,79.93004315178725,78.45826404434376,83.83816361438102,82.96669247746274,86.63830840391519,83.36137073005645,77.8216513786226,78.12030822196714,80.91991820749125,78.37238978756292,77.53834716929956,83.77723897587504,77.1454857349547,79.9084533989765,78.31278204396428,79.73447427319688,78.68825564775494,79.01898038412385,78.39604406342762,79.42933366647942,78.5541467509769,78.37131838392345,77.59713105722794,81.22548868297976,78.81268440535823,77.045859216283,78.98251428281426,78.773942205952,82.01705341626695,78.0121613858856,77.36123976981077,77.56109609324817,78.61071054925304,79.25431574963369,78.3067931762563,77.4157145845504,77.36641336108627,76.61043745751995,78.97974146127628,79.06159419072725,78.62803511383073,77.28552320663493,88.40567451696242,73.82789682040026,78.65509424949015,99.94268785900229,82.15291171470811,101.80224305992638,82.47474525447933,76.94872389835473,79.51992937272622,81.6586159353214,79.12808804112207,75.70492666146363,77.29910487272073,77.70929993883375,77.78941107544262,76.67819114791574,77.78987865789142,76.10891533718807,79.57188293885551,76.17543962384472,77.98782563946722,76.80254094733282,76.54763222221447,76.17657894868346,77.30414013655457,82.70209428997929,77.86075959642363,77.43270829388607,82.77659936155382,77.84313350542435,81.64195103131202,82.34931202377413,79.64515069168263,82.61128780026391,84.2858074478377,77.0970413016528,79.24983276640444,76.85279153863245,78.43880131567198,78.4404270585223,79.51195745073954,74.68618852395069,77.74324579518071,75.33954271658406,84.29949037200882,75.12991280588197,81.19681593713123,77.8664608940354,79.1604421461691,75.90075690817434,77.77857596740598,79.31649539938456,80.52907448030626,77.36245925479041,80.03391987343784,77.07102850805947,79.96144155984948,76.89855185626226,82.45490902218474,76.5049041947248,80.24931265581633,76.1579062719849,80.45394650809115,78.52054615339324,80.05523369411073,77.30105166786134,76.90568263996235,78.41123057942676,78.62869319963077,83.41734397062251,81.0688929009382,84.26648368834962,85.97870303610948,75.7252263222073,82.55426698311409
179fece00005a,79.46311089257796,93.64515835017218,94.42071624177818,0.0,86.05233435969109,81.86669146116239,76.83358222834626,77.18477836401124,92.47978787149803,69.56504804023162,82.3410013844385,88.4872469828745,86.22219560590852,84.67202032119708,90.00138477285849,78.81204277632514,86.72400637705415,96.71622291562348,87.76955828309794,85.96298485353311,87.07830331045078,90.84288636958402,80.10976995353627,90.06151086006498,87.83353877967255,84.65784427066242,87.64245233694882,89.63272614257754,82.7309222179022,85.69890415830125,87.93842430784504,84.90095102151669,88.58226312839915,88.54770072287293,83.04310119849697,87.06809696139766,86.86133094073857,85.65833597319681,89.78720568725936,90.58632562828797,86.63036105117025,85.86742865030662,82.1396924837198,83.25040088646077,86.1571400709548,84.51081444340095,83.6155230636088,85.52407438806128,83.51471697547512,85.85844880202531,85.97786357990041,84.84553246791138,85.13044930942903,85.25149687047998,84.69257529076782,86.20032819753386,86.15056842795597,84.39038670090407,84.88618329085517,86.31444343743625,85.32094936533531,84.96571625634128,86.19663114793957,85.15614420919162,87.40285040385218,85.41319960559024,84.54159613488659,84.9779963580395,85.65906355970004,85.03073357844967,85.26302117692921,84.62294288022166,84.71314472537178,84.93406121863015,86.03179179626,85.12868549554332,85.30224249769213,84.24917210107067,90.98990249765878,81.50249972170803,75.99882369689333,95.6058479271552,91.83868413611906,106.12161592909544,84.44368970779645,80.91459085085587,79.02298270983833,84.83171073128948,84.48959380602649,81.47698847336474,83.99571387487329,84.51851256476886,84.77126008878957,84.36993188519364,85.39868724810643,85.2200419040633,86.52566158073779,84.91601447313934,85.5563733248973,85.10976740063946,84.94881124237351,85.34961799048243,80.63234572360996,87.51346040933119,80.27751843776653,82.61294357042306,85.54745094261317,83.45968080026582,84.9256470425739,86.10953523538603,85.78913129222067,85.49072605513084,89.05316145060019,82.97202784906854,85.44760109564973,85.20940293372297,85.89534039028297,85.42988334884616,86.24221543205569,75.7329259105195,75.10581189414417,84.14226853930727,88.2749256555071,80.76737710414949,79.98312475149967,84.68563399404677,85.26202364493695,83.55073838808313,84.77619952183764,86.90301175252175,88.28862364860561,84.22058986395518,86.40731058366269,85.4813403696295,88.1995670519947,84.55538700484006,88.77896408230521,85.1146243112849,88.90943143404888,84.63562195651542,87.26093532460337,86.94371221830896,88.83342507483074,84.73236637529526,85.24498098075354,86.58539565019142,87.46544985964296,83.15942734673003,81.2319327487808,86.10384280694326,85.30803144310778,82.16668843142469,82.85732682256064
179fece00006a,83.73911212813977,97.18340339046614,86.72632981131628,86.05233435969109,0.0,82.29704012825916,77.41180275605598,78.09679231870176,87.71407464494534,77.09322936643244,64.1067054584919,85.78988114715425,82.74143278873296,80.22638656527006,84.51465491444465,81.85015585959533,79.85010320136956,101.46295444738129,85.53287544846515,80.6787220713106,81.66440317285267,85.19054960509732,79.08110233937327,84.64661889819419,82.61932369288674,80.61734281931298,81.39529605168143,83.9887592721581,82.64188823543566,80.74736448129106,82.79922570482282,80.36842524604745,83.19259952522368,82.8592087281133,81.19538766870055,81.94839818369763,81.57461179775468,81.3509370964226,85.36568873772642,84.95588795912533,87.80871872723733,80.5531965744673,80.58960389809755,79.00119810132131,80.19625622758016,79.77854933018553,79.40053985947955,83.19194054606514,79.94233288461494,81.76510868948078,80.10310211345022,81.59110500637658,80.7615596827601,81.63888296863027,80.5268119566981,81.92590054816469,81.50002660378084,80.33979089429525,80.05434018916266,83.7487457854139,80.86323160802326,80.20837009223483,81.59275025970531,80.96949583471094,83.5359987118739,81.09442483136989,79.90057092448453,80.5895890471436,81.22108411777099,81.03123478997561,80.58427069616016,80.34380897238907,79.79630513500115,79.86342459258773,81.73615198033885,80.85775455331299,80.90907448262772,80.14332667581529,84.83323569977476,78.70907447361381,77.8238835290217,100.00967676140347,86.03722141808706,101.26712891782726,78.76637099595347,79.63899019770196,79.55068063100703,81.68969648327347,81.39433309236213,78.30670061813845,79.46827614211863,80.75997935480015,80.62036294633533,79.49018541510925,81.09991416953208,79.68508362255865,82.28326587209244,79.63776042153442,80.97099697257323,80.32569910281671,79.98074422831262,79.74051487246874,79.67833346773853,83.43944822073227,79.36180806432056,80.66363825215113,82.63154560769028,80.71280063558935,83.40410240571735,84.39038457784125,82.55365362269156,83.79523675017428,86.94613814988857,79.5489205453605,82.41435545297918,80.30001354741957,81.35813509335674,82.33259801022061,82.42703560560969,78.53432356359545,78.17269178734435,79.45049676036992,83.24188468390192,78.30550379205344,82.15021220154476,79.70829858364895,81.11290428085233,78.85848052497262,81.04715880500972,82.03419446243674,82.96467273267497,79.44091257757226,82.97571503623995,80.3953931645502,83.00124821978982,79.3635222343502,84.8083210256188,79.82544141443813,83.80697100980935,79.12738028795567,83.27408270267487,81.79351590026195,83.73769019332349,79.75105291885487,80.259752630553,81.80355163169814,82.54102983789939,83.75603573749412,79.90791677471816,84.0574989221954,84.72808128785324,75.16664691938334,82.2626937505549
179fece00012a,59.83470640321835,84.80055128015768,83.11584058621307,81.86669146116239,82.29704012825916,0.0,53.97282195764464,51.917896113216855,66.5526126455212,53.58566424915126,57.927055065595496,49.19067988079348,49.246336048104986,60.6465175792463,56.8716714275823,56.37059411479538,58.22596243704234,88.23610146511864,53.57491817225486,64.2001211165654,65.95986807234452,60.936076755303944,55.50507906197953,60.98763069174442,66.44465891574316,54.10260628547453,63.542452221015026,61.03643329871778,56.75882228849923,57.46832282693731,65.38831782475,54.40986881252056,62.90695648221961,60.13249659648021,57.692451189441606,59.56854738179646,65.6186045362829,53.724362230630156,63.66170827947596,61.717184170681485,61.38202795603753,58.484306860338094,55.29488686060774,57.44093243061712,56.0801617624816,62.432976342652125,58.4092165837136,58.80591114936668,58.27677651214189,58.59983873514865,59.75393582353221,63.3635083016814,60.252853417627044,59.31579848553521,59.43178427930171,58.94089137217792,59.65079081546683,62.094726602600055,60.77514016483423,58.74968194245889,60.23571749676227,60.32563449873546,58.600340607322885,61.603857015590435,61.98697366873479,61.031647449334876,60.03085798963856,59.26019109518162,57.31746332555506,62.10652742040511,61.17079887182776,60.40944026256718,59.971673882080644,60.36876940412534,57.03772027003513,62.35980186575719,61.051198710388576,60.16620625205314,80.1651568600789,70.94090930452788,64.89643417825486,98.00644316443874,84.46953660138759,97.40380879050419,59.0029850066615,59.12093846557317,58.331615561824016,54.863002876967684,58.932144158158685,59.95615678609964,55.224832746596334,60.74493853312523,64.21859650488855,54.627351593399716,62.502030550161,65.58003171678835,54.801535313726724,63.56901404596542,66.21845690011494,55.38505077582666,62.72362803426703,65.78327489068089,55.068943648617385,61.71034795178687,59.948033353572676,55.76919390488241,60.89904107093808,63.43525113835154,60.81763628672752,60.62205463650044,67.04257246486992,63.07593488108931,62.413576763556364,60.66601535591317,59.52224397109047,65.64667952634204,66.69136169032639,58.861285180043744,67.1959833721442,56.745439197229885,66.67314900520503,62.248893621883795,75.12995890181719,55.53509011763861,54.73228233377406,55.47243281439258,57.90978344568226,59.582533258503915,61.82288603232502,58.428310612301956,62.37928098405521,58.6114223186597,63.95928234307961,59.45821550743365,62.178286178366,61.18664124103913,67.65381067721994,59.834819980415375,62.752048135002596,62.98776940970978,68.03334354075578,60.82250815339829,62.96596773053863,60.893888659814074,65.61014953650468,60.34393886949379,62.232814079958445,65.06350590158671,60.37133442254934,59.75591509551781,68.0786520616952,60.79710057947415,66.4302136912307
179fece000132a,67.46384826928237,66.54201367738382,79.97201725912831,76.83358222834626,77.41180275605598,53.97282195764464,0.0,18.13304319802468,67.43824427747282,45.925385922212506,59.27868659377738,54.331119550130154,51.012040156433656,47.017796070014825,55.987644870781814,54.891088754303325,61.173231279224744,71.34992389932029,59.57782080709887,51.86477551088797,51.67058693673016,59.43922496255134,52.7540049328929,65.22830974069137,52.616896417429665,56.01475049206175,51.82191193112898,58.47804941964178,54.497831408241815,58.78073245066399,52.229214710614784,56.011371791438805,56.604760142006576,58.41108980447321,54.57038149489907,62.75237571854589,52.64517032139034,57.49591127105841,58.991007287103635,60.62669745332352,61.27584352626006,61.143230448341356,48.61334789128226,49.441407973248396,51.4309009514642,56.16851158618647,52.117194939648925,57.00301605190717,51.82961741426601,54.12401028141714,55.65471295964513,57.72431522687118,54.07433530917243,55.89122532747733,52.86210326190319,54.48039026587448,55.400932882336086,55.93486756329277,53.791949976376365,56.25125015517403,53.79870758525353,54.027509047252956,54.05305769314025,56.59642190608875,57.007475478163876,55.37195643949193,52.91932531810473,53.28390231388096,53.70730262682286,56.84425779193797,54.908051608868455,54.65745011553565,53.43063562074163,54.211065966851514,54.39576051381249,56.706122576615314,55.2711670842874,54.247536656260735,69.6772052777915,69.42856894306547,62.77319071863778,94.50216278403744,78.73713652515937,91.25098538744558,56.811243911656376,55.34519760796273,57.140390136843436,55.020281425346546,54.390066289400636,53.30395231555823,54.14874889495411,52.98845084458012,55.64082855290943,54.066965719344424,55.11905200495564,57.14691591517116,57.404812612454464,55.86894100182482,56.82221116779944,55.27394909232134,55.52410514073247,57.1311943187254,53.063178083889376,61.01474649270756,55.129462615703964,53.91596386048891,59.134995906490715,54.87509910460013,59.33950782255674,59.4209111428022,57.64346251376061,60.11236716653749,62.85149967546892,55.22880767625411,57.693327721276276,56.77565649779068,57.14218688621412,56.59161763890945,57.7682292430962,58.067295624210196,63.64498708285214,61.147652353615,71.88250276597753,53.183187192668576,53.6312239854994,51.614344982010564,54.73683833077521,54.51490891631024,53.90165594446198,54.55138006833466,58.27079917262156,54.689687912019984,55.955109427478284,54.833399989880064,57.80560912741364,55.36856634955419,59.380735190755374,54.645744579128895,58.77924746365313,55.99833623680371,58.82344061579699,57.24681660513086,58.80072181615091,55.54579823926715,56.9040597002177,57.03437344826303,57.43282256995939,64.75106800332541,57.84097903519324,60.30141875515659,71.22458259416575,56.98618049350493,61.1153013602071
179fece00013a,67.64708541254723,70.37559790757942,80.15937972290536,77.18477836401124,78.09679231870176,51.917896113216855,18.13304319802468,0.0,67.87484749386039,45.435804827080396,57.32598145933136,52.12603864878292,48.87864717988123,47.06364071457299,55.8744942688923,52.94923405788846,57.79817865697996,75.34703848515994,57.38297644911287,52.77083714085339,52.67183493930521,59.25243839609318,51.736837843899444,61.07314368770866,53.60889105697219,54.347455227122595,52.00375868932079,58.236321770900965,53.39002491872073,55.34275106907953,53.06251309857409,54.44781782145693,56.2221981536338,58.14585727881087,53.69812172043961,59.33828959572316,53.40550551489496,55.63133878520435,58.47754517496408,60.143554494208075,59.398935616074006,57.734714106057034,48.3439823063655,49.05900317723191,50.47813361811112,56.265495336029225,51.75338420296361,55.33214295558278,51.470966480594,53.567523928560675,55.42083254708564,57.750657860094414,53.64252842710315,54.84241922679411,52.73670258635185,53.722280997938256,55.054305326017655,55.94117090078312,53.59459117767118,54.93069354766538,53.53492874547487,53.61124237879143,54.25988756521383,56.20531203862419,56.28089544098386,54.69841462797638,52.79651867540896,52.683814548778706,53.911505569796915,56.72990455379826,54.548712348531936,53.99276833650242,53.34899926507912,53.802513569310435,54.32544564935816,56.600299616104856,54.73879863284575,53.67031624857683,71.69045394091853,68.98367766911423,62.27098287210298,94.25187442669171,78.24548576418853,91.94217978466746,55.63499914883925,54.33524746814686,56.15144043571002,53.78046375713933,53.9860941329879,53.415857184783754,52.69915522544867,53.113358470653914,56.012376100007955,52.79929953102902,55.467160153256856,57.79825018585706,55.57544605862652,56.38015977595733,57.445896871706225,53.87275552453628,55.95817063121798,57.78760994811636,52.05562672735878,59.80079563412867,55.10455730929208,52.966661142714024,57.7336855482711,55.512373118855926,57.71479925245787,58.442055434799244,58.29089260072928,58.774135288643606,61.95529282562867,54.37650987750768,56.9252702707826,57.41135087060443,57.68330386781345,55.72030853484501,58.37898427079769,57.63180943977195,63.4669380702367,60.592643505561774,70.83940143883524,52.14035029961517,52.91134013691279,50.97217385239432,54.52057331607597,54.0580258458418,54.35667933036597,53.86770172475487,57.49260190540265,54.1343528224439,56.41974930736871,54.72915564998328,57.72319182651859,55.224331890057414,59.977208872191596,54.45426112702191,58.98740394859013,56.19233293350154,59.38361638829987,56.717908651186576,59.053440443299856,55.26468401065646,57.52910301279851,56.443502112679454,57.657151601421646,63.9841374346897,57.01004947446531,59.67521240788839,71.07538839751798,55.77410659672245,61.248686082823305
179fece00014a,84.52440148102133,93.09498168156071,56.401147505427524,92.47978787149803,87.71407464494534,66.5526126455212,67.43824427747282,67.87484749386039,0.0,66.20446752100762,70.34802393663585,68.49371959820698,65.63620564716979,68.69247188435561,53.11941321705975,64.5574634252972,70.12287502391385,96.58836384672473,66.86178128403746,70.35033585456851,71.6685204603627,62.43562292587928,63.60921977078635,70.19702159412527,72.35128412979886,65.24006873509173,69.30190905643347,63.35309293014626,65.71703888596565,67.49894743422459,71.45280122781006,64.92947034428477,65.98386239707258,63.5423188739662,66.14890536286434,70.02426299972153,71.32164122143203,64.36706645280604,66.8260861312708,65.5334220807164,70.74521933462624,68.97491097541348,63.46124329129708,65.6317846901117,63.73728026878869,68.31647274343706,64.91529097736617,67.85743507289938,65.1654021223743,66.4443182897296,65.80080651863489,68.32886617223826,66.30881283797463,66.2577987204499,65.69229101379142,67.44562535442452,65.90072981205725,67.23779595240765,66.76150646905872,66.82412017198706,66.85928355118872,68.13197464359814,65.20728908294707,67.2875023424374,67.79453239772732,67.35151001776711,66.42757367069149,67.94129602395249,64.52574266733926,67.60706206717529,67.22587224482245,66.7051841944852,66.5008542775229,68.12369142561775,64.54184473190084,67.97612466850116,67.25182417851833,66.67600729080091,86.19787285563929,75.87103618804497,73.4627308115477,99.05909055619149,81.94919805267632,101.67327710104415,68.99438526985526,65.4512289010565,65.52898805322027,65.0132073553998,64.43156849708143,65.62174212424635,64.81410775534799,65.37656741637181,69.49242912522875,64.4762116670923,66.96019192856218,70.29516367042834,65.63892308945793,68.51655723599458,70.79984494796052,64.78926437863349,67.799927103513,70.27411583413428,63.07335493573561,64.59377446112482,65.8691491854871,64.32379749538732,68.04855940369217,68.18958145431914,67.7454848592382,67.92345523344244,71.38458178750022,68.28478549816465,69.1148157011422,65.8584249394613,66.1489406346437,70.17878868111856,71.10434967181054,65.50235880277259,71.49228524943292,70.08525862445558,77.8603858167162,69.70611875227571,77.19923307520244,67.58679714078579,65.74518648388839,63.988992645334655,65.51012580683953,68.13489264699436,67.12505084398042,66.48879639710232,68.03155055627292,68.47488435740084,69.37620052302341,66.42128766261531,67.50573675414567,68.76099143347655,72.59208323034075,66.44301309838367,68.19228106197961,69.38783578883037,72.32146469586269,67.3473711732957,68.12963473707691,68.96999276105845,70.29848791759783,67.17489155269972,67.44541875422578,72.66990011765326,67.3056138780439,67.40375903165356,74.85911390272747,67.54660057025399,70.74184574137207
179fece00015a,70.82345087368203,84.18771168823311,79.46210110709468,69.56504804023162,77.09322936643244,53.58566424915126,45.925385922212506,45.435804827080396,66.20446752100762,0.0,53.55657417233633,49.340356981621504,45.10844566657282,43.414325193229374,53.782733553272564,38.489018893418844,53.00437662413759,88.73744657304064,50.70933072052923,47.368291514307614,48.76968763508562,54.30896081981242,38.10090284482336,57.6216037480111,50.107600327168846,46.73418848048287,48.99139145741666,52.76941796540444,43.18154527543127,49.447985169229746,49.436132455726515,45.797890033570916,51.094882165063964,52.25556152196556,43.01212437238914,53.124017600254604,48.98067618302464,47.48384456314095,53.10070496750019,55.45057911076003,50.71851999919786,51.39950885723717,44.27393057848215,45.31467638567399,50.63926929568333,47.59248260036687,46.696983306935294,49.81400426243729,46.05641157380524,47.443482275355215,50.92332185141964,49.625028915455864,48.910861763741956,48.77568427708498,46.86439061147141,47.64776621238522,50.62212274977666,47.92756577033856,47.923030296874124,49.71905683090099,47.48238446616451,46.454417283765316,50.274234008476554,49.05662906374198,51.997338056670884,48.13310522641531,46.17647367265158,46.5098559184028,49.552217287439134,48.84616752605237,48.366732589487604,46.788763138436565,46.67714901073131,46.738595747689764,50.61714844210939,48.83335008263022,48.589543367962925,46.36713409074071,73.84146791248466,63.6167960289614,55.523168316830706,92.4665361879341,74.5194496873401,90.95819156134847,55.29021134701967,49.0819948114253,45.24339507663846,45.23135986754011,46.75167413882257,42.51178076874802,44.04763218316781,45.52201685643799,46.9593375034851,45.309994107801835,47.74050960917167,49.38053950790143,48.685465821978696,48.224233876631715,48.75995841725568,47.54560578766814,47.94177592014729,49.446459900961464,45.565574614739894,55.90691360793365,44.02971754796846,44.8205502786914,52.99817882724267,44.58508898741991,49.80684465442879,52.603150393361,49.129138424386106,50.47278252197223,55.1939155320443,46.03958672414374,48.93828578246255,48.780312781529105,49.1426228185035,48.84271544418695,49.76617048421023,52.208456398967385,62.10592102038808,60.35068057918652,68.0763015898529,42.02267635442848,47.48042581088925,46.86418488106303,47.77725835744532,43.994624450999865,46.36235474476914,48.670220027060644,52.71612682648637,44.67458454612193,48.55753740868827,48.44883673806427,52.089772422375866,45.99023429275811,52.35230875984103,47.83265984505769,53.019750679938745,47.35197685351457,50.908980704801856,50.172025375845074,53.07056741392188,46.04193535648733,48.86612217772348,49.8969807109791,51.34853223761421,60.045416386422964,50.29145330340605,58.54310832818669,65.05622584175377,52.71320005500947,56.96216857493531
