feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	week	day4	12.0342567061773	0.687563065567934	48	46	2.88494670559189e-18	8.63176054313093e-15
Enterococcus	week	day8	11.5995979952291	0.687563065567934	48	46	8.62692657246936e-18	1.29058821524142e-14
Hungatella	week	day8	9.71874905774565	0.598579737856642	48	48	2.67707840248488e-17	2.66993952674492e-14
Schaalia	week	day12	-8.27608645491988	0.528492412552558	48	21	7.72652239974764e-17	5.77943875501124e-14
Hungatella	week	day12	9.24753332902674	0.598579737856642	48	48	1.1467340538422e-16	6.86205657819172e-14
Hungatella	week	day4	9.13034521704012	0.598579737856641	48	48	1.66121118117792e-16	8.2839064234739e-14
Enterococcus	week	day12	10.144234910244	0.687563065567934	48	46	4.3476939659089e-16	1.5689787697438e-13
Schaalia	week	day4	-7.83744041486944	0.528492412552558	48	21	3.75039046628673e-16	1.5689787697438e-13
Schaalia	week	day8	-7.77511268486203	0.528492412552558	48	21	4.71952170043256e-16	1.5689787697438e-13
Alistipes	week	day12	-7.12726306049188	0.501662883764778	48	45	1.28175368617718e-15	3.83500702904213e-13
Rothia	week	day12	-8.345759321984	0.690527499503997	48	12	2.0321379243727e-15	4.67704359217275e-13
Rothia	week	day4	-8.34575932198401	0.690527499503997	48	12	2.03213792440661e-15	4.67704359217275e-13
Rothia	week	day8	-8.345759321984	0.690527499503997	48	12	2.0321379243727e-15	4.67704359217275e-13
Actinomyces	week	day12	-5.69910448065193	0.478108724017126	48	12	3.22191227953101e-15	6.02497596282873e-13
Actinomyces	week	day4	-5.69910448065193	0.478108724017126	48	12	3.22191227958756e-15	6.02497596282873e-13
Actinomyces	week	day8	-5.69910448065193	0.478108724017126	48	12	3.22191227953101e-15	6.02497596282873e-13
Candidatus_Cibionibacter	week	day12	-9.40018271290973	0.697511558899276	48	41	5.70499334881237e-15	1.00407882939098e-12
GGB9699	week	day12	-9.61274957093305	0.775533936853423	48	15	5.79513305055165e-14	9.63279893736141e-12
GGB9699	week	day8	-9.52941623759971	0.775533936853423	48	15	7.34941697298989e-14	1.15733976753609e-11
Alistipes	week	day8	-5.82156743443908	0.501662883764778	48	45	3.43683942823727e-13	4.47087981273300e-11
Candidatus_Cibionibacter	week	day8	-8.11019139268888	0.697511558899276	48	41	3.26151655944603e-13	4.47087981273300e-11
Faecalibacterium	week	day12	-10.4055024485453	0.896188442079522	48	39	3.38740186332046e-13	4.47087981273300e-11
Roseburia	week	day12	-10.3791864557008	0.890565562762291	48	33	3.06355841250479e-13	4.47087981273300e-11
GGB9699	week	day4	-8.68042997099131	0.775533936853423	48	15	8.95189064668834e-13	1.11600236728715e-10
