2025-09-22 20:30:25.502907 INFO::Writing function arguments to log file
2025-09-22 20:30:25.504356 DEBUG::Function arguments
2025-09-22 20:30:25.505092 DEBUG::Output folder: maaslin2_outputE975
2025-09-22 20:30:25.505675 DEBUG::Min Abundance: 0.000000
2025-09-22 20:30:25.506173 DEBUG::Min Prevalence: 0.000000
2025-09-22 20:30:25.506618 DEBUG::Normalization: NONE
2025-09-22 20:30:25.507058 DEBUG::Transform: LOG
2025-09-22 20:30:25.507535 DEBUG::Analysis method: LM
2025-09-22 20:30:25.508062 DEBUG::Max significance: 0.250000
2025-09-22 20:30:25.508598 DEBUG::Random effects: pt_identifier
2025-09-22 20:30:25.509145 DEBUG::Fixed effects: group,week
2025-09-22 20:30:25.509723 DEBUG::Correction method: BH
2025-09-22 20:30:25.511735 DEBUG::Standardize: FALSE
2025-09-22 20:30:25.512818 DEBUG::Cores: 1
2025-09-22 20:30:25.51349 INFO::Verifying options selected are valid
2025-09-22 20:30:25.514729 INFO::Determining format of input files
2025-09-22 20:30:25.515831 INFO::Input format is data samples as columns and metadata samples as rows
2025-09-22 20:30:25.51837 DEBUG::Transformed data so samples are rows
2025-09-22 20:30:25.520623 DEBUG::A total of 48 samples were found in both the data and metadata
2025-09-22 20:30:25.521262 DEBUG::Reordering data/metadata to use same sample ordering
2025-09-22 20:30:25.525947 INFO::Formula for random effects: expr ~ (1 | pt_identifier)
2025-09-22 20:30:25.529717 INFO::Formula for fixed effects: expr ~  group + week
2025-09-22 20:30:25.531978 INFO::Filter data based on min abundance and min prevalence
2025-09-22 20:30:25.533402 INFO::Total samples in data: 48
2025-09-22 20:30:25.534492 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-09-22 20:30:25.53994 INFO::Total filtered features: 0
2025-09-22 20:30:25.542641 INFO::Filtered feature names from abundance and prevalence filtering:
2025-09-22 20:30:25.612226 INFO::Total filtered features with variance filtering: 0
2025-09-22 20:30:25.613854 INFO::Filtered feature names from variance filtering:
2025-09-22 20:30:25.615172 INFO::Running selected normalization method: NONE
2025-09-22 20:30:25.616447 INFO::Bypass z-score application to metadata
2025-09-22 20:30:25.617794 INFO::Running selected transform method: LOG
2025-09-22 20:30:25.631137 INFO::Running selected analysis method: LM
2025-09-22 20:30:25.633169 INFO::Fitting model to feature number 1, Abiotrophia
2025-09-22 20:30:25.676716 INFO::Fitting model to feature number 2, Acetivibrio
2025-09-22 20:30:25.738167 INFO::Fitting model to feature number 3, Acidaminococcus
2025-09-22 20:30:25.783114 INFO::Fitting model to feature number 4, Actinobaculum
2025-09-22 20:30:25.821481 INFO::Fitting model to feature number 5, Actinomyces
2025-09-22 20:30:25.875837 INFO::Fitting model to feature number 6, Adlercreutzia
2025-09-22 20:30:25.917361 INFO::Fitting model to feature number 7, Agathobaculum
2025-09-22 20:30:25.99536 INFO::Fitting model to feature number 8, Aggregatibacter
2025-09-22 20:30:26.032365 INFO::Fitting model to feature number 9, Akkermansia
2025-09-22 20:30:26.081292 INFO::Fitting model to feature number 10, Alistipes
2025-09-22 20:30:26.121623 INFO::Fitting model to feature number 11, Allisonella
2025-09-22 20:30:26.161742 INFO::Fitting model to feature number 12, Alloscardovia
2025-09-22 20:30:26.199385 INFO::Fitting model to feature number 13, Amedibacillus
2025-09-22 20:30:26.247993 INFO::Fitting model to feature number 14, Amedibacterium
2025-09-22 20:30:26.283536 INFO::Fitting model to feature number 15, Anaerobutyricum
2025-09-22 20:30:26.323394 INFO::Fitting model to feature number 16, Anaerococcus
2025-09-22 20:30:26.362924 INFO::Fitting model to feature number 17, Anaerofilum
2025-09-22 20:30:26.401289 INFO::Fitting model to feature number 18, Anaerofustis
2025-09-22 20:30:26.438724 INFO::Fitting model to feature number 19, Anaeroglobus
2025-09-22 20:30:26.498067 INFO::Fitting model to feature number 20, Anaeromassilibacillus
2025-09-22 20:30:26.542969 INFO::Fitting model to feature number 21, Anaerosacchariphilus
2025-09-22 20:30:26.584399 INFO::Fitting model to feature number 22, Anaerostipes
2025-09-22 20:30:26.629599 INFO::Fitting model to feature number 23, Anaerotignum
2025-09-22 20:30:26.667754 INFO::Fitting model to feature number 24, Anaerotruncus
2025-09-22 20:30:26.703503 INFO::Fitting model to feature number 25, Anaerovibrio
2025-09-22 20:30:26.744515 INFO::Fitting model to feature number 26, Angelakisella
2025-09-22 20:30:26.783718 INFO::Fitting model to feature number 27, Atopobium
2025-09-22 20:30:26.821129 INFO::Fitting model to feature number 28, Bacilliculturomica
2025-09-22 20:30:26.860084 INFO::Fitting model to feature number 29, Bacillus
2025-09-22 20:30:26.913806 INFO::Fitting model to feature number 30, Bacteria_unclassified
2025-09-22 20:30:26.959007 INFO::Fitting model to feature number 31, Bacteroidales_unclassified
2025-09-22 20:30:26.999529 INFO::Fitting model to feature number 32, Bacteroides
2025-09-22 20:30:27.036958 INFO::Fitting model to feature number 33, Bariatricus
2025-09-22 20:30:27.07262 INFO::Fitting model to feature number 34, Barnesiella
2025-09-22 20:30:27.113338 INFO::Fitting model to feature number 35, Berryella
2025-09-22 20:30:27.154071 INFO::Fitting model to feature number 36, Bianquea
2025-09-22 20:30:27.1903 INFO::Fitting model to feature number 37, Bifidobacterium
2025-09-22 20:30:27.230091 INFO::Fitting model to feature number 38, Bilophila
2025-09-22 20:30:27.267806 INFO::Fitting model to feature number 39, Bittarella
2025-09-22 20:30:27.334506 INFO::Fitting model to feature number 40, Blautia
2025-09-22 20:30:27.371765 INFO::Fitting model to feature number 41, Brevibacterium
2025-09-22 20:30:27.41304 INFO::Fitting model to feature number 42, Brotolimicola
2025-09-22 20:30:27.449894 INFO::Fitting model to feature number 43, Bulleidia
2025-09-22 20:30:27.488184 INFO::Fitting model to feature number 44, Burkholderiaceae_unclassified
2025-09-22 20:30:27.527121 INFO::Fitting model to feature number 45, Butyricicoccus
2025-09-22 20:30:27.56769 INFO::Fitting model to feature number 46, Butyricimonas
2025-09-22 20:30:27.604135 INFO::Fitting model to feature number 47, Campylobacter
2025-09-22 20:30:27.652593 INFO::Fitting model to feature number 48, Candidatus_Borkfalkia
2025-09-22 20:30:27.689582 INFO::Fitting model to feature number 49, Candidatus_Cibionibacter
2025-09-22 20:30:27.725329 INFO::Fitting model to feature number 50, Candidatus_Gastranaerophilales_unclassified
2025-09-22 20:30:27.781646 INFO::Fitting model to feature number 51, Candidatus_Nanoperiomorbus
2025-09-22 20:30:27.824041 INFO::Fitting model to feature number 52, Candidatus_Nanosynsacchari
2025-09-22 20:30:27.863094 INFO::Fitting model to feature number 53, Candidatus_Saccharibacteria_unclassified
2025-09-22 20:30:27.900314 INFO::Fitting model to feature number 54, Cardiobacterium
2025-09-22 20:30:27.94094 INFO::Fitting model to feature number 55, Catenibacillus
2025-09-22 20:30:28.019522 INFO::Fitting model to feature number 56, Catenibacterium
2025-09-22 20:30:28.067527 INFO::Fitting model to feature number 57, Christensenella
2025-09-22 20:30:28.103432 INFO::Fitting model to feature number 58, Christensenellaceae_unclassified
2025-09-22 20:30:28.14277 INFO::Fitting model to feature number 59, Citrobacter
2025-09-22 20:30:28.181311 INFO::Fitting model to feature number 60, Cloacibacillus
2025-09-22 20:30:28.233501 INFO::Fitting model to feature number 61, Clostridia_unclassified
2025-09-22 20:30:28.275281 INFO::Fitting model to feature number 62, Clostridiaceae_unclassified
2025-09-22 20:30:28.318009 INFO::Fitting model to feature number 63, Clostridium
2025-09-22 20:30:28.356032 INFO::Fitting model to feature number 64, Colibacter
2025-09-22 20:30:28.409842 INFO::Fitting model to feature number 65, Colidextribacter
2025-09-22 20:30:28.447029 INFO::Fitting model to feature number 66, Collinsella
2025-09-22 20:30:28.490927 INFO::Fitting model to feature number 67, Companilactobacillus
2025-09-22 20:30:28.534228 INFO::Fitting model to feature number 68, Congzhengia
2025-09-22 20:30:28.573623 INFO::Fitting model to feature number 69, Coprobacter
2025-09-22 20:30:28.614316 INFO::Fitting model to feature number 70, Coprococcus
2025-09-22 20:30:28.669841 INFO::Fitting model to feature number 71, Coriobacteriaceae_unclassified
2025-09-22 20:30:28.716248 INFO::Fitting model to feature number 72, Corynebacterium
2025-09-22 20:30:28.75425 INFO::Fitting model to feature number 73, Cryptobacterium
2025-09-22 20:30:28.802518 INFO::Fitting model to feature number 74, Cuneatibacter
2025-09-22 20:30:28.839384 INFO::Fitting model to feature number 75, Dakarella
2025-09-22 20:30:28.883954 INFO::Fitting model to feature number 76, Desulfovibrio
2025-09-22 20:30:28.926174 INFO::Fitting model to feature number 77, Dialister
2025-09-22 20:30:28.967496 INFO::Fitting model to feature number 78, Dielma
2025-09-22 20:30:29.007033 INFO::Fitting model to feature number 79, Diplocloster
2025-09-22 20:30:29.066767 INFO::Fitting model to feature number 80, Dorea
2025-09-22 20:30:29.106344 INFO::Fitting model to feature number 81, Drancourtella
2025-09-22 20:30:29.158339 INFO::Fitting model to feature number 82, Duodenibacillus
2025-09-22 20:30:29.19706 INFO::Fitting model to feature number 83, Dysosmobacter
2025-09-22 20:30:29.23452 INFO::Fitting model to feature number 84, Eggerthella
2025-09-22 20:30:29.2729 INFO::Fitting model to feature number 85, Eggerthia
2025-09-22 20:30:29.318582 INFO::Fitting model to feature number 86, Eisenbergiella
2025-09-22 20:30:29.363592 INFO::Fitting model to feature number 87, Ellagibacter
2025-09-22 20:30:29.403854 INFO::Fitting model to feature number 88, Emergencia
2025-09-22 20:30:29.456866 INFO::Fitting model to feature number 89, Enorma
2025-09-22 20:30:29.502068 INFO::Fitting model to feature number 90, Enterobacter
2025-09-22 20:30:29.539984 INFO::Fitting model to feature number 91, Enterocloster
2025-09-22 20:30:29.578025 INFO::Fitting model to feature number 92, Enterococcus
2025-09-22 20:30:29.616407 INFO::Fitting model to feature number 93, Erysipelatoclostridium
2025-09-22 20:30:29.657186 INFO::Fitting model to feature number 94, Escherichia
2025-09-22 20:30:29.694665 INFO::Fitting model to feature number 95, Eubacteriaceae_unclassified
