feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lawsonibacter	week	2	-8.96007914029153	0.408453574484208	153	27	1.77919781581876e-44	3.68419768603495e-41
Lawsonibacter	week	5	-9.00553368574607	0.408453574484208	153	27	1.07933595107914e-44	3.68419768603495e-41
Lawsonibacter	week	6	-8.93698155376106	0.408453574484208	153	27	2.29497364163307e-44	3.68419768603495e-41
Lawsonibacter	week	3	-8.86226081786221	0.408453574484208	153	27	5.24301694394548e-44	6.31259240051036e-41
Lawsonibacter	week	4	-8.79788951273981	0.413467696513004	153	27	2.7062410687184e-43	2.60665139738957e-40
Lawsonibacter	week	1	-8.27779863477963	0.408453574484208	153	27	3.87372993279971e-41	3.10931389272724e-38
Clostridiaceae_unclassified	week	3	-9.59620293040805	0.537827839615149	153	32	3.46475653249742e-36	1.85402971818633e-33
Clostridiaceae_unclassified	week	5	-9.59620293040805	0.537827839615149	153	32	3.46475653298758e-36	1.85402971818633e-33
Clostridiaceae_unclassified	week	6	-9.59620293040806	0.537827839615149	153	32	3.46475653315551e-36	1.85402971818633e-33
Eubacteriales_unclassified	week	2	-7.10816496893951	0.400981079563279	153	28	6.16281864095273e-36	2.2830872749868e-33
Eubacteriales_unclassified	week	3	-7.10816496893951	0.400981079563279	153	28	6.16281861756124e-36	2.2830872749868e-33
Eubacteriales_unclassified	week	5	-7.10816496893951	0.400981079563279	153	28	6.16281862492748e-36	2.2830872749868e-33
Eubacteriales_unclassified	week	6	-7.10816496893951	0.400981079563279	153	28	6.1628186213094e-36	2.2830872749868e-33
Clostridiaceae_unclassified	week	4	-9.59574891067579	0.544657396544786	153	32	9.45480328191603e-36	3.25245232897911e-33
Eubacteriales_unclassified	week	4	-7.11332701349876	0.405947061090713	153	28	1.47288920182555e-35	4.72895626399456e-33
Clostridiaceae_unclassified	week	2	-9.35299170713492	0.537827839615148	153	32	3.44407236107034e-35	1.03666578068217e-32
Lentihominibacter	week	3	-9.59751026452509	0.581914290728502	153	28	3.56891597936018e-33	9.04626283431512e-31
Lentihominibacter	week	5	-9.59751026452509	0.581914290728502	153	28	3.56891598190326e-33	9.04626283431512e-31
Lentihominibacter	week	6	-9.59751026452509	0.581914290728502	153	28	3.56891598529874e-33	9.04626283431512e-31
Lentihominibacter	week	2	-9.55205571907055	0.581914290728502	153	28	5.36531389441893e-33	1.29196758577608e-30
Lentihominibacter	week	4	-9.59996277601631	0.589234650954811	153	28	8.98338010725897e-33	2.06018850459806e-30
Candidatus_Cibionibacter	week	3	-9.20802640924704	0.593981727848423	153	40	6.7844561082334e-31	1.36141419527234e-28
Candidatus_Cibionibacter	week	5	-9.20802640924704	0.593981727848423	153	40	6.7844561144731e-31	1.36141419527234e-28
Candidatus_Cibionibacter	week	6	-9.20802640924704	0.593981727848423	153	40	6.78445612261965e-31	1.36141419527234e-28
Candidatus_Cibionibacter	week	4	-9.23172074431831	0.601643064566449	153	40	1.44805304335346e-30	2.7895293827161e-28
