2025-09-22 20:28:21.937072 INFO::Writing function arguments to log file
2025-09-22 20:28:21.938759 DEBUG::Function arguments
2025-09-22 20:28:21.939952 DEBUG::Output folder: maaslin2_outputV107
2025-09-22 20:28:21.940751 DEBUG::Min Abundance: 0.000000
2025-09-22 20:28:21.941341 DEBUG::Min Prevalence: 0.000000
2025-09-22 20:28:21.94182 DEBUG::Normalization: NONE
2025-09-22 20:28:21.942259 DEBUG::Transform: LOG
2025-09-22 20:28:21.942703 DEBUG::Analysis method: LM
2025-09-22 20:28:21.94317 DEBUG::Max significance: 0.250000
2025-09-22 20:28:21.943704 DEBUG::Random effects: pt_identifier
2025-09-22 20:28:21.944149 DEBUG::Fixed effects: group,week
2025-09-22 20:28:21.944594 DEBUG::Correction method: BH
2025-09-22 20:28:21.945022 DEBUG::Standardize: FALSE
2025-09-22 20:28:21.945763 DEBUG::Cores: 1
2025-09-22 20:28:21.946758 INFO::Verifying options selected are valid
2025-09-22 20:28:21.948917 INFO::Determining format of input files
2025-09-22 20:28:21.950677 INFO::Input format is data samples as columns and metadata samples as rows
2025-09-22 20:28:21.955684 DEBUG::Transformed data so samples are rows
2025-09-22 20:28:21.95885 DEBUG::A total of 153 samples were found in both the data and metadata
2025-09-22 20:28:21.959844 DEBUG::Reordering data/metadata to use same sample ordering
2025-09-22 20:28:21.965239 INFO::Formula for random effects: expr ~ (1 | pt_identifier)
2025-09-22 20:28:21.967456 INFO::Formula for fixed effects: expr ~  group + week
2025-09-22 20:28:21.969791 INFO::Filter data based on min abundance and min prevalence
2025-09-22 20:28:21.972012 INFO::Total samples in data: 153
2025-09-22 20:28:21.975237 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-09-22 20:28:21.98605 INFO::Total filtered features: 0
2025-09-22 20:28:21.989134 INFO::Filtered feature names from abundance and prevalence filtering:
2025-09-22 20:28:22.008017 INFO::Total filtered features with variance filtering: 0
2025-09-22 20:28:22.010884 INFO::Filtered feature names from variance filtering:
2025-09-22 20:28:22.013467 INFO::Running selected normalization method: NONE
2025-09-22 20:28:22.01719 INFO::Bypass z-score application to metadata
2025-09-22 20:28:22.01835 INFO::Running selected transform method: LOG
2025-09-22 20:28:22.083736 INFO::Running selected analysis method: LM
2025-09-22 20:28:22.085775 INFO::Fitting model to feature number 1, Acidaminococcus
2025-09-22 20:28:22.136598 INFO::Fitting model to feature number 2, Acidipropionibacterium
2025-09-22 20:28:22.178813 INFO::Fitting model to feature number 3, Actinobaculum
2025-09-22 20:28:22.230294 INFO::Fitting model to feature number 4, Actinomyces
2025-09-22 20:28:22.26793 INFO::Fitting model to feature number 5, Adlercreutzia
2025-09-22 20:28:22.309314 INFO::Fitting model to feature number 6, Agathobaculum
2025-09-22 20:28:22.350965 INFO::Fitting model to feature number 7, Akkermansia
2025-09-22 20:28:22.407888 INFO::Fitting model to feature number 8, Alicyclobacillus
2025-09-22 20:28:22.489846 INFO::Fitting model to feature number 9, Alistipes
2025-09-22 20:28:22.527518 INFO::Fitting model to feature number 10, Allisonella
2025-09-22 20:28:22.566995 INFO::Fitting model to feature number 11, Alloscardovia
2025-09-22 20:28:22.616978 INFO::Fitting model to feature number 12, Amedibacterium
2025-09-22 20:28:22.657513 INFO::Fitting model to feature number 13, Anaerobutyricum
2025-09-22 20:28:22.695804 INFO::Fitting model to feature number 14, Anaerococcus
2025-09-22 20:28:22.737445 INFO::Fitting model to feature number 15, Anaerofilum
2025-09-22 20:28:22.778585 INFO::Fitting model to feature number 16, Anaerofustis
2025-09-22 20:28:22.816785 INFO::Fitting model to feature number 17, Anaeroglobus
2025-09-22 20:28:22.870305 INFO::Fitting model to feature number 18, Anaeromassilibacillus
2025-09-22 20:28:22.912129 INFO::Fitting model to feature number 19, Anaerosacchariphilus
2025-09-22 20:28:22.96772 INFO::Fitting model to feature number 20, Anaerostipes
2025-09-22 20:28:23.00967 INFO::Fitting model to feature number 21, Anaerotignum
2025-09-22 20:28:23.050053 INFO::Fitting model to feature number 22, Anaerotruncus
2025-09-22 20:28:23.08516 INFO::Fitting model to feature number 23, Anaerovibrio
2025-09-22 20:28:23.126156 INFO::Fitting model to feature number 24, Anaerovorax
2025-09-22 20:28:23.16576 INFO::Fitting model to feature number 25, Angelakisella
2025-09-22 20:28:23.220758 INFO::Fitting model to feature number 26, Arachnia
2025-09-22 20:28:23.261235 INFO::Fitting model to feature number 27, Atopobium
2025-09-22 20:28:23.31124 INFO::Fitting model to feature number 28, Bacteria_unclassified
2025-09-22 20:28:23.351267 INFO::Fitting model to feature number 29, Bacteroidales_unclassified
2025-09-22 20:28:23.395793 INFO::Fitting model to feature number 30, Bacteroides
2025-09-22 20:28:23.439473 INFO::Fitting model to feature number 31, Bariatricus
2025-09-22 20:28:23.47884 INFO::Fitting model to feature number 32, Barnesiella
2025-09-22 20:28:23.523907 INFO::Fitting model to feature number 33, Bianquea
2025-09-22 20:28:23.577523 INFO::Fitting model to feature number 34, Bifidobacterium
2025-09-22 20:28:23.623589 INFO::Fitting model to feature number 35, Bilophila
2025-09-22 20:28:23.673553 INFO::Fitting model to feature number 36, Bittarella
2025-09-22 20:28:23.71075 INFO::Fitting model to feature number 37, Blautia
2025-09-22 20:28:23.751874 INFO::Fitting model to feature number 38, Brotolimicola
2025-09-22 20:28:23.795477 INFO::Fitting model to feature number 39, Butyricicoccus
2025-09-22 20:28:23.834926 INFO::Fitting model to feature number 40, Butyricimonas
2025-09-22 20:28:23.875937 INFO::Fitting model to feature number 41, Butyrivibrio
2025-09-22 20:28:23.91397 INFO::Fitting model to feature number 42, Campylobacter
2025-09-22 20:28:23.97278 INFO::Fitting model to feature number 43, Candidatus_Borkfalkia
2025-09-22 20:28:24.025103 INFO::Fitting model to feature number 44, Candidatus_Cibionibacter
2025-09-22 20:28:24.065476 INFO::Fitting model to feature number 45, Candidatus_Gastranaerophilales_unclassified
2025-09-22 20:28:24.110274 INFO::Fitting model to feature number 46, Candidatus_Nanoperiomorbus
2025-09-22 20:28:24.156392 INFO::Fitting model to feature number 47, Candidatus_Nanosynsacchari
2025-09-22 20:28:24.200219 INFO::Fitting model to feature number 48, Candidatus_Saccharibacteria_unclassified
2025-09-22 20:28:24.241455 INFO::Fitting model to feature number 49, Catenibacillus
2025-09-22 20:28:24.287026 INFO::Fitting model to feature number 50, Catenibacterium
